iter	Passed	Remaining
0	122	122226
1	126	63002
2	128	42789
3	133	33225
4	136	27171
5	138	22996
6	141	20040
7	144	17880
8	147	16227
9	150	14943
10	153	13781
11	155	12769
12	157	11972
13	164	11610
14	166	10939
15	169	10429
16	171	9902
17	173	9485
18	177	9148
19	179	8809
20	181	8466
21	183	8168
22	185	7890
23	188	7662
24	192	7496
25	194	7293
26	196	7082
27	198	6900
28	201	6734
29	205	6639
30	208	6507
31	210	6379
32	213	6245
33	215	6114
34	219	6049
35	222	5960
36	224	5845
37	226	5731
38	233	5765
39	237	5702
40	240	5618
41	242	5529
42	244	5436
43	251	5455
44	254	5394
45	256	5317
46	258	5236
47	261	5183
48	264	5133
49	268	5101
50	272	5067
51	277	5065
52	284	5075
53	288	5047
54	299	5144
55	305	5149
56	309	5121
57	313	5091
58	320	5109
59	327	5132
60	330	5080
61	331	5020
62	343	5114
63	347	5088
64	359	5174
65	362	5130
66	364	5076
67	369	5069
68	373	5046
69	376	5005
70	381	4991
71	384	4959
72	387	4923
73	390	4892
74	392	4844
75	399	4858
76	402	4823
77	404	4786
78	406	4741
79	409	4709
80	413	4694
81	417	4670
82	418	4622
83	420	4584
84	422	4546
85	425	4527
86	428	4500
87	430	4463
88	432	4426
89	434	4394
90	436	4358
91	439	4336
92	442	4312
93	444	4283
94	446	4255
95	448	4224
96	451	4204
97	455	4194
98	458	4172
99	460	4144
100	462	4115
101	467	4113
102	470	4094
103	472	4069
104	474	4045
105	477	4023
106	479	4001
107	484	3998
108	486	3973
109	488	3951
110	490	3927
111	492	3902
112	496	3896
113	500	3889
114	502	3868
115	504	3846
116	506	3820
117	508	3802
118	513	3802
119	515	3782
120	518	3763
121	520	3743
122	526	3751
123	529	3742
124	531	3723
125	534	3710
126	536	3688
127	539	3673
128	543	3669
129	545	3648
130	546	3628
131	549	3612
132	551	3593
133	555	3589
134	558	3575
135	560	3561
136	563	3547
137	565	3529
138	569	3525
139	571	3510
140	573	3492
141	574	3470
142	576	3453
143	577	3435
144	580	3424
145	585	3423
146	587	3408
147	590	3396
148	592	3381
149	594	3371
150	599	3372
151	602	3361
152	604	3345
153	606	3330
154	609	3322
155	614	3323
156	615	3307
157	617	3289
158	618	3271
159	620	3257
160	621	3237
161	623	3227
162	628	3228
163	630	3214
164	632	3200
165	634	3189
166	636	3175
167	640	3173
168	644	3168
169	646	3156
170	648	3145
171	651	3138
172	655	3134
173	658	3123
174	659	3111
175	661	3096
176	664	3087
177	666	3077
178	671	3077
179	673	3069
180	675	3057
181	677	3044
182	680	3040
183	685	3039
184	687	3029
185	689	3016
186	691	3005
187	693	2995
188	697	2992
189	701	2991
190	703	2981
191	706	2971
192	707	2959
193	710	2952
194	713	2947
195	716	2937
196	718	2927
197	719	2916
198	721	2905
199	730	2920
200	732	2910
201	734	2902
202	740	2907
203	743	2901
204	746	2896
205	748	2886
206	751	2878
207	754	2873
208	756	2863
209	758	2853
210	760	2842
211	762	2833
212	765	2827
213	769	2825
214	772	2819
215	774	2810
216	776	2800
217	777	2789
218	780	2783
219	785	2786
220	787	2776
221	789	2766
222	790	2755
223	794	2750
224	797	2747
225	800	2740
226	802	2732
227	804	2722
228	805	2713
229	811	2715
230	813	2709
231	815	2699
232	817	2689
233	818	2679
234	820	2669
235	822	2662
236	824	2655
237	828	2652
238	830	2645
239	833	2639
240	835	2631
241	838	2627
242	841	2622
243	844	2615
244	846	2607
245	848	2599
246	852	2599
247	856	2597
248	858	2590
249	861	2583
250	863	2576
251	868	2576
252	870	2571
253	872	2563
254	874	2555
255	877	2549
256	882	2551
257	885	2545
258	886	2537
259	889	2530
260	892	2526
261	895	2521
262	897	2514
263	899	2506
264	901	2499
265	903	2492
266	905	2487
267	909	2483
268	913	2481
269	915	2475
270	917	2469
271	921	2466
272	924	2462
273	926	2454
274	928	2447
275	930	2440
276	934	2437
277	937	2434
278	939	2428
279	941	2421
280	943	2414
281	945	2406
282	948	2403
283	951	2399
284	953	2393
285	955	2386
286	957	2379
287	959	2372
288	963	2370
289	966	2365
290	968	2358
291	970	2352
292	972	2346
293	974	2340
294	978	2338
295	980	2332
296	982	2325
297	984	2318
298	986	2311
299	989	2308
300	992	2304
301	995	2299
302	997	2294
303	999	2288
304	1001	2282
305	1005	2279
306	1008	2276
307	1010	2270
308	1012	2264
309	1014	2257
310	1015	2250
311	1017	2242
312	1021	2241
313	1023	2235
314	1025	2229
315	1026	2222
316	1028	2216
317	1030	2209
318	1032	2204
319	1036	2201
320	1037	2195
321	1039	2189
322	1041	2183
323	1043	2177
324	1045	2171
325	1050	2171
326	1052	2166
327	1054	2159
328	1055	2153
329	1057	2146
330	1059	2140
331	1061	2135
332	1065	2133
333	1066	2127
334	1068	2121
335	1070	2115
336	1072	2109
337	1073	2103
338	1076	2098
339	1079	2096
340	1082	2091
341	1084	2085
342	1085	2080
343	1087	2074
344	1090	2069
345	1094	2068
346	1095	2062
347	1097	2056
348	1099	2050
349	1101	2045
350	1103	2040
351	1106	2036
352	1108	2031
353	1110	2026
354	1112	2020
355	1113	2014
356	1115	2008
357	1116	2002
358	1119	1998
359	1122	1995
360	1123	1989
361	1125	1983
362	1127	1978
363	1129	1973
364	1132	1970
365	1136	1968
366	1138	1963
367	1140	1958
368	1141	1952
369	1143	1946
370	1144	1941
371	1147	1937
372	1151	1935
373	1153	1929
374	1154	1924
375	1156	1918
376	1158	1913
377	1159	1908
378	1163	1905
379	1165	1901
380	1167	1896
381	1169	1891
382	1171	1887
383	1173	1882
384	1178	1882
385	1180	1878
386	1183	1874
387	1185	1869
388	1187	1864
389	1191	1863
390	1194	1861
391	1196	1855
392	1198	1850
393	1199	1845
394	1201	1840
395	1205	1838
396	1208	1835
397	1210	1830
398	1211	1825
399	1213	1820
400	1215	1815
401	1216	1810
402	1220	1808
403	1223	1804
404	1225	1799
405	1226	1795
406	1228	1789
407	1230	1784
408	1232	1780
409	1235	1778
410	1238	1775
411	1240	1771
412	1242	1766
413	1244	1761
414	1246	1756
415	1249	1753
416	1252	1750
417	1254	1746
418	1256	1742
419	1257	1736
420	1260	1733
421	1263	1730
422	1265	1726
423	1267	1721
424	1269	1717
425	1271	1712
426	1274	1709
427	1277	1707
428	1279	1702
429	1281	1698
430	1282	1693
431	1284	1688
432	1286	1684
433	1289	1682
434	1292	1678
435	1293	1673
436	1295	1668
437	1296	1663
438	1298	1658
439	1299	1653
440	1301	1649
441	1304	1646
442	1307	1643
443	1309	1639
444	1310	1634
445	1312	1630
446	1314	1626
447	1316	1622
448	1320	1620
449	1322	1615
450	1324	1611
451	1325	1607
452	1327	1602
453	1329	1598
454	1332	1595
455	1335	1592
456	1337	1588
457	1339	1584
458	1340	1580
459	1342	1576
460	1345	1572
461	1349	1571
462	1351	1567
463	1353	1563
464	1355	1559
465	1357	1555
466	1362	1554
467	1364	1550
468	1366	1546
469	1368	1543
470	1370	1538
471	1371	1534
472	1375	1532
473	1378	1529
474	1380	1525
475	1382	1521
476	1383	1517
477	1385	1513
478	1390	1512
479	1393	1509
480	1395	1505
481	1397	1501
482	1399	1497
483	1401	1494
484	1405	1492
485	1407	1488
486	1409	1485
487	1411	1481
488	1413	1477
489	1415	1473
490	1418	1470
491	1421	1467
492	1423	1463
493	1425	1459
494	1427	1455
495	1428	1451
496	1430	1447
497	1432	1443
498	1435	1441
499	1437	1437
500	1439	1433
501	1441	1429
502	1442	1425
503	1445	1422
504	1449	1420
505	1451	1416
506	1453	1413
507	1455	1409
508	1457	1405
509	1460	1403
510	1463	1400
511	1465	1396
512	1467	1392
513	1468	1388
514	1469	1384
515	1471	1380
516	1473	1376
517	1476	1373
518	1478	1370
519	1480	1366
520	1482	1362
521	1484	1359
522	1485	1355
523	1488	1352
524	1491	1349
525	1494	1346
526	1495	1342
527	1497	1338
528	1499	1335
529	1501	1331
530	1504	1328
531	1506	1325
532	1508	1321
533	1510	1317
534	1511	1313
535	1513	1309
536	1514	1306
537	1517	1303
538	1520	1300
539	1522	1297
540	1524	1293
541	1525	1289
542	1527	1285
543	1528	1281
544	1531	1278
545	1534	1276
546	1536	1272
547	1538	1269
548	1540	1265
549	1541	1261
550	1543	1257
551	1546	1255
552	1549	1252
553	1551	1249
554	1553	1245
555	1554	1241
556	1556	1237
557	1558	1234
558	1560	1230
559	1563	1228
560	1565	1224
561	1566	1220
562	1567	1216
563	1569	1213
564	1571	1210
565	1574	1206
566	1576	1204
567	1578	1200
568	1580	1196
569	1581	1193
570	1583	1189
571	1584	1185
572	1587	1182
573	1590	1180
574	1592	1177
575	1594	1173
576	1596	1170
577	1597	1166
578	1599	1163
579	1603	1160
580	1606	1158
581	1608	1155
582	1610	1152
583	1612	1148
584	1613	1144
585	1616	1141
586	1620	1139
587	1621	1136
588	1623	1133
589	1626	1129
590	1628	1126
591	1631	1124
592	1634	1122
593	1637	1119
594	1638	1115
595	1640	1112
596	1643	1109
597	1647	1107
598	1648	1103
599	1650	1100
600	1652	1096
601	1653	1093
602	1655	1089
603	1656	1086
604	1660	1084
605	1663	1081
606	1665	1078
607	1668	1075
608	1670	1072
609	1673	1069
610	1677	1068
611	1679	1065
612	1682	1062
613	1684	1058
614	1687	1056
615	1692	1055
616	1695	1052
617	1696	1048
618	1699	1045
619	1701	1042
620	1707	1042
621	1709	1038
622	1711	1035
623	1714	1032
624	1716	1029
625	1721	1028
626	1725	1026
627	1727	1023
628	1728	1019
629	1731	1016
630	1735	1014
631	1739	1012
632	1741	1009
633	1744	1006
634	1748	1004
635	1751	1002
636	1753	999
637	1755	995
638	1757	992
639	1760	990
640	1764	988
641	1767	985
642	1769	982
643	1771	979
644	1774	976
645	1778	974
646	1781	971
647	1782	968
648	1785	965
649	1787	962
650	1793	961
651	1796	959
652	1799	956
653	1802	953
654	1805	951
655	1809	948
656	1811	945
657	1813	942
658	1815	939
659	1818	936
660	1822	934
661	1825	932
662	1827	929
663	1830	926
664	1834	924
665	1837	921
666	1839	918
667	1840	914
668	1842	911
669	1844	908
670	1848	906
671	1852	904
672	1854	900
673	1856	897
674	1857	894
675	1860	891
676	1864	889
677	1866	886
678	1868	883
679	1870	880
680	1872	877
681	1876	874
682	1879	872
683	1880	868
684	1882	865
